,coin_name,max_price_in_45_day
0,1000SATS,0.0004000000000000000191686944095437183932517655193805694580078125
1,1INCH,0.310800000000000020694557179012917913496494293212890625
2,1MBABYDOGE,0.0023925000000000000953404022396853179088793694972991943359375
3,AAVE,180.009999999999990905052982270717620849609375
4,ACA,0.0587000000000000021760371282653068192303180694580078125
5,ACH,0.02054999999999999882316359389733406715095043182373046875
6,ADA,0.45860000000000000763833440942107699811458587646484375
7,ADX,0.1695000000000000117683640610266593284904956817626953125
8,AERO,1.399999999999999911182158029987476766109466552734375
9,AEUR,1.074100000000000054711790653527714312076568603515625
10,AEVO,0.440000000000000002220446049250313080847263336181640625
11,AGLD,1.3440000000000000834887714518117718398571014404296875
12,AI,0.395799999999999985167420391007908619940280914306640625
13,AIOZ,0.55239000000000004764189043271471746265888214111328125
14,AKT,3.04300000000000014921397450962103903293609619140625
15,ALGO,0.1464999999999999913402604079237789846956729888916015625
16,ALICE,1.0789999999999999591437926937942393124103546142578125
17,ALPACA,0.1353999999999999925837101955039543099701404571533203125
18,ALPHA,0.07040000000000000424105195406809798441827297210693359375
19,ALTl,0.134489999999999998436805981327779591083526611328125
20,AMP,0.00379700000000000002786659791809142916463315486907958984375
21,AMPt,0.00446000000000000042243986086987206363119184970855712890625
22,ANKR,0.030744000000000000494271290563119691796600818634033203125
23,ANT,7.79399999999999959499064061674289405345916748046875
24,APE,1.03699999999999992184029906638897955417633056640625
25,API3,1.6109999999999999875655021241982467472553253173828125
26,APT,9.730000000000000426325641456060111522674560546875
27,AR,26.3599999999999994315658113919198513031005859375
28,ARB,0.59019999999999994688693050193251110613346099853515625
29,ARBm,0.66649999999999998134825318629737012088298797607421875
30,ARKM,2.201000000000000067501559897209517657756805419921875
31,ARPA,0.047410000000000000752731210695856134407222270965576171875
32,ASR,2.061999999999999833022457096376456320285797119140625
33,ASTR,0.07920000000000000650590692430341732688248157501220703125
34,ATA,0.08709999999999999686917107055705855600535869598388671875
35,ATM,2.016999999999999904076730672386474907398223876953125
36,ATOM,5.3545999999999995822008713730610907077789306640625
37,AUCTION,13.8499999999999996447286321199499070644378662109375
38,AVAX,30.379999999999999005240169935859739780426025390625
39,AXL,0.81740000000000001545430450278217904269695281982421875
40,AXS,5.5
41,BADGER,3.031000000000000138555833473219536244869232177734375
42,BAKE,0.238400000000000000799360577730112709105014801025390625
43,BAR,2.0800000000000000710542735760100185871124267578125
44,BAT,0.1972899999999999931521443841120344586670398712158203125
45,BB,0.2881000000000000227373675443232059478759765625
46,BCH,374.3999999999999772626324556767940521240234375
47,BCHSV,53.1700000000000017053025658242404460906982421875
48,BEAMX,0.0196999999999999987621013275429504574276506900787353515625
49,BEAMo,0.01917699999999999960209606797434389591217041015625
50,BGB,1.096000000000000085265128291212022304534912109375
51,BLUR,0.256799999999999972732922515206155367195606231689453125
52,BLZ,0.1030999999999999972022379779446055181324481964111328125
53,BNB,606.4099999999999681676854379475116729736328125
54,BNSOL,203.5
55,BNT,0.56169999999999997708499677173676900565624237060546875
56,BNX,0.53139999999999998347988139357767067849636077880859375
57,BOME,0.01030999999999999972022379779446055181324481964111328125
58,BONK,0.000024000000000000000608020578329870886591379530727863311767578125
59,BRETT,0.11458000000000000129229960066368221305310726165771484375
60,BTC,76498.880000000004656612873077392578125
61,BTG,25.21000000000000085265128291212022304534912109375
62,BTT,0.000001030000000000000091033409109486651544784763245843350887298583984375
63,BURGER,0.39290000000000002700062395888380706310272216796875
64,C98,0.125599999999999989430676805568509735167026519775390625
65,CAKE,2.196000000000000174082970261224545538425445556640625
66,CATI,0.3427000000000000046185277824406512081623077392578125
67,CELO,0.83720000000000005524469770534778945147991180419921875
68,CFX,0.1943999999999999894750857265535159967839717864990234375
69,CHEEL,21.714999999999999857891452847979962825775146484375
70,CHR,0.172899999999999998134825318629737012088298797607421875
71,CHZ,0.082199999999999995292654375589336268603801727294921875
72,CKB,0.0184600000000000007138734048339756554923951625823974609375
73,CLV,0.02849000000000000143440814781570225022733211517333984375
74,COMP,54.27000000000000312638803734444081783294677734375
75,COREd,1.2384999999999999342747969421907328069210052490234375
76,COTI,0.09635000000000000508482145278321695514023303985595703125
77,CRO,0.09092999999999999694022534413306857459247112274169921875
78,CRV,0.3506000000000000227373675443232059478759765625
79,CTSI,0.129000000000000003552713678800500929355621337890625
80,CVC,0.12489999999999999713562459646709612570703029632568359375
81,CVX,1.85400000000000009237055564881302416324615478515625
82,DAI,1.00039999999999995594635038287378847599029541015625
83,DAR,0.152210000000000011954881529163685627281665802001953125
84,DASH,27.019999999999999573674358543939888477325439453125
85,DATA,0.03601000000000000034194869158454821445047855377197265625
86,DENT,0.000893000000000000022058743720521079012542031705379486083984375
87,DEXE,9.1240000000000005542233338928781449794769287109375
88,DOGE,0.198099999999999998312461002569762058556079864501953125
89,DOGS,0.00145610000000000010256240301487196120433509349822998046875
90,DOT,4.3879999999999999005240169935859739780426025390625
91,DYDX,1.1035999999999999143796003409079276025295257568359375
92,DYDXn,1.2050000000000000710542735760100185871124267578125
93,DYM,1.975000000000000088817841970012523233890533447265625
94,EDU,0.5018000000000000238031816479633562266826629638671875
95,EGLD,32.409999999999996589394868351519107818603515625
96,EIGEN,3.920999999999999818811602381174452602863311767578125
97,ELF,0.421439999999999981294962481115362606942653656005859375
98,ENA,0.49890000000000001012523398458142764866352081298828125
99,ENJ,0.177999999999999991562305012848810292780399322509765625
100,ENS,22.160000000000000142108547152020037174224853515625
101,EOS,0.556200000000000027711166694643907248973846435546875
102,ERN,2.11399999999999987920773492078296840190887451171875
