coin_name,max_price_in_45_day
1000SATS,0.0004000000000000000191686944095437183932517655193805694580078125
1INCH,0.4059
1MBABYDOGE,0.0026600999999999001312256385887167198234237730503082275390625
AAVE,186.73
ACA,0.1458000000000000129229960066368221305310726165771484375
ACH,0.02929
ADA,1.1169000000000000039079850466805510222911834716796875
ADX,0.2040
AERO,1.399999999999999911182158029987476766109466552734375
AEUR,1.074100000000000054711790653527714312076568603515625
AEVO,0.4722
AGLD,1.520000000000000017763568394002504646778106689453125
AI,0.6295
AIOZ,0.55239000000000004764189043271471746265888214111328125
AKT,3.04300000000000014921397450962103903293609619140625
ALGO,0.326299999999999978950171453107031993567943572998046875
ALICE,1.5580000000000000515143483426072634756565093994140625
ALPACA,0.2055
ALPHA,0.0970
ALTl,0.1344899999999998041477766719253850169479846954345703125
AMP,0.005501
AMPt,0.00446000000000000042243986086987206363119184970855712890625
ANKR,0.041469999999999999917843496177738416008651256561279296875
ANT,7.7939999999999987068122209166176617145538330078125
APE,1.3930000000000000159872115546022541821002960205078125
API3,2.129000000000000003552713678800500929355621337890625
APT,13.32000000000000028421709430404007434844970703125
AR,26.3599999999999994315658113919198513031005859375
ARB,0.9473
ARBm,0.666499999999999648281345798750407993793487548828125
ARKM,2.33199999999999985078602549037896096706390380859375
ARPA,0.05979
ASR,2.237999999999999989341858963598497211933135986328125
ASTR,0.08250000000000000388578058618804789148271083831787109375
ATA,0.1184
ATM,2.130999999999999783284465593169443309307098388671875
ATOM,9.3469999999999995310417943983338773250579833984375
AUCTION,15.98
AVAX,46.63
AXL,0.81740000000000001545430450278217904269695281982421875
AXS,8.5090000000000003410605131648480892181396484375
BADGER,3.776
BAKE,0.3294
BAR,2.204
BAT,0.197289999999999909885417537225293926894664764404296875
BB,0.3537
BCH,544.1000000000000227373675443232059478759765625
BCHSV,53.1700000000000017053025658242404460906982421875
BEAMX,0.0254599999999997016197905708168036653660237789154052734375
BEAMo,0.019176999999999701229658199963523657061159610748291015625
BGB,1.096000000000000085265128291212022304534912109375
BLUR,0.3474
BLZ,0.1430
BNB,679.1599999999999681676854379475116729736328125
BNSOL,267.1000000000000227373675443232059478759765625
BNT,0.7168
BNX,0.58970000000000000195399252334027551114559173583984375
BOME,0.01096800000000000031852298576495741144753992557525634765625
BONK,0.0000587899999999000005368281207562830559254507534205913543701171875
BRETT,0.11458000000000000129229960066368221305310726165771484375
BTC,99275
BTG,25.21000000000000085265128291212022304534912109375
BTT,0.000001030000000000000091033409109486651544784763245843350887298583984375
BURGER,0.5691
C98,0.1819
CAKE,3.026
CATI,0.77680000000000004600764214046648703515529632568359375
CELO,0.8549
CFX,0.1943999999999999062083588796667754650115966796875
CHEEL,21.714999999999999857891452847979962825775146484375
CHR,0.2670
CHZ,0.1005000000000000059952043329758453182876110076904296875
CKB,0.0184600000000000007138734048339756554923951625823974609375
CLV,0.135179999999999911342030145533499307930469512939453125
COMP,71.1400000000000005684341886080801486968994140625
COREd,1.2384999999999999342747969421907328069210052490234375
COTI,0.149999999999999911182158029987476766109466552734375
CRO,0.09092999999999980265119603473067400045692920684814453125
CRV,0.5704
CTSI,0.1955
CVC,0.1640
CVX,3.486
DAI,1.00039999999999995594635038287378847599029541015625
DAR,0.18965
DASH,27.019999999999999573674358543939888477325439453125
DATA,0.04662
DENT,0.001484
DEXE,9.1240000000000005542233338928781449794769287109375
DOGE,0.47501999999999988677501505662803538143634796142578125
DOGS,0.00145610000000000010256240301487196120433509349822998046875
DOT,9.660000000000000142108547152020037174224853515625
DYDX,1.581700000000000105870867628254927694797515869140625
DYDXn,1.2050000000000000710542735760100185871124267578125
DYM,2.447
EDU,0.6166
EGLD,40.13
EIGEN,3.920999999999999818811602381174452602863311767578125
ELF,0.42143999999999992578381124985753558576107025146484375
ENA,0.6822
ENJ,0.1779999999999999082955781659620697610080242156982421875
ENS,25.57
EOS,0.90039999999999997815081087537691928446292877197265625
ERN,2.739
ETC,31.62
ETH,3519.20
ETHFI,2.301
ETHW,3.909199999999999786126636536209844052791595458984375
FDUSD,1.0022999999999999687361196265555918216705322265625
FET,1.697599999999999997868371792719699442386627197265625
FIDA,0.2445
FIL,5.99500000000000010658141036401502788066864013671875
FIS,0.451000000000000011990408665951690636575222015380859375
FLOKI,0.0002855099999998000144703358404996151875820942223072052001953125
FLOW,0.987999999999999989341858963598497211933135986328125
FLR,0.0170800000000000014310774787418267806060612201690673828125
FLUX,0.7757
FLZ,4.83499999999999996447286321199499070644378662109375
FTM,1.0049
FTN,2.60358000000000000540012479177676141262054443359375
FTT,2.743900000000000005684341886080801486968994140625
FXS,3.050
G,0.04431999999999990114130099527756101451814174652099609375
GALA,0.04077999999999999680699858117804978974163532257080078125
GAS,6.3589999999999999857891452847979962825775146484375
GLM,0.4967
GMT,0.2175
GMTn,0.16292999999999990823340567658306099474430084228515625
GNO,280.4
GRT,0.2684
GT,9.3100000000000004973799150320701301097869873046875
HBAR,0.1650600000000000122657439760587294586002826690673828125
HFT,0.2393
HIFI,0.6766
HIGH,1.781
HIVE,0.3064999999999999946709294817992486059665679931640625
HMSTR,0.005975000000000000276167977375507689430378377437591552734375
HNT,8.3620000000000000994759830064140260219573974609375
HOT,0.002979
ICP,12.626
ICX,0.2081
ID,0.5230
IDEX,0.04652
IDs,0.436089999999999922142279729087022133171558380126953125
IMX,1.794
IMXm,1.8124000000000000110134124042815528810024261474609375
INJ,29.13
IO,2.852
IOST,0.007605
IOTA,0.2488
IOTX,0.048370000000000003270717030545711168088018894195556640625
IQ,0.008864
