coin_name,spider_web,cnt
DOGS,binance,3
DOGS,coin-stats,3
HMSTR,binance,3
HMSTR,coin-stats,3
LUNA,coin-stats,3
NEIRO,binance,3
USDT,coin-stats,3
VELO,coin-stats,3
